Codigo Estación	Tipo Estación	Nombre Estación	Nombre de la Corriente Hídrica	Areade la Cuenca (Km2)	Perímetro (Km)	Pendiente Media de la Cuenca (%)	Elevacion Media de la Cuenca (msnm)	Desnivel Cuenca (m)	Compacidad	Densidad de Drenaje (Longitud de Drenajes/km2)	Densidad de Corrientes (Num de Drenajes/km2)	Deficit de agua en el suelo basada en Penman Anual	Pendiente media del cauce (m/m)	Longitud del cauce (m)	Desnivel del cauce (m)	Bosque Km2
22077070	LG	CALICHAL EL BOSQUE	CUCUANA	591,847	136,684	40,832146	2672,215331	3078	1,573153083	1,656532874	0,864243631	97,733186	0,043938091	58150	2555	141,9149
23017020	LM	BOCATOMA	QDA PADILLA	23,0182	27,6115	14,989747	431,353693	385	1,611433367	1,249723306	0,955765438	431,944714	0,012235179	7437,57	91	4,051395
23017030	LM	PTE LOPEZ	GUALI	789,471	231,627	36,536665	1731,509086	5090	2,308230221	1,639846738	0,889203023	143,195965	0,037936294	111450	4228	173,316
23017040	LG	ESPERANZA LA	GUALI	463,245	167,275	46,912628	2382,70123	4804	2,176124305	1,605556222	0,808427506	77,914981	0,050409336	78199,8	3942	108,0843
23017060	LM	PTE CARRETERA	SUCIO	87,8928	56,8351	26,82395	1054,027503	1410	1,697453984	1,799265048	1,2060146	144,804058	0,043752502	21735,9	951	16,15428
23027060	LG	PTE CARRETERA	GUARINO	839,048	257,251	49,444057	2277,275223	3812	2,486690297	1,562818841	0,811038224	105,598037	0,026673095	116147	3098	265,295
23037010	LG	PTO SALGAR-AUTOMAT	MAGDALENA	56547	1860,01	32,769873	1738,426063	5388	2,1901231	1,345041271	0,619113304	278,044944	0,004257644	779774	3320	9033,671
23057140	LG	SAN MIGUEL-AUTOMAT	LA MIEL	2288,04	275,938	46,778234	1316,669757	3679	1,615242515	1,550046427	1,137217881	206,565802	0,028798833	108303	3119	889,0197
23067020	LG	COLORADOS	NEGRO	3118,04	322,189	37,671249	1437,463305	3497	1,615577883	1,239282548	0,658586805	361,059733	0,021313343	107116	2283	90,07123
23067040	LG	PTO LIBRE	NEGRO	4560,27	469,94	37,864814	1217,936337	3638	1,948521336	1,317311463	0,685266443	341,648061	0,013749611	176805	2431	410,707
23067050	LG	GUADUERO	NEGRO	2538,72	278,467	38,896429	1565,350627	3357	1,547477579	1,189389289	0,637132098	354,820123	0,031612502	68137,6	2154	61,35297
23067060	LG	TOBIA	NEGRO	1114,38	190,666	38,87015	1732,744989	3142	1,59924364	1,280334261	0,738078573	305,722718	0,032948754	75207,7	2478	38,59614
23067070	LM	VILLETA	VILLETA	435,612	110,009	36,323589	1522,928367	2313	1,475829988	1,005923863	0,440759208	357,516364	0,018942687	32783,1	621	1,119151
23067080	LG	CHARCO LARGO	NEGRO	710,375	174,388	37,936671	1840,844578	2848	1,83202246	1,33328123	0,789723737	264,178082	0,043468841	50311,9	2187	38,59614
23077020	LG	PTE FERROCARRIL	COCORNA	819,288	212,685	28,548368	525,636553	2104	2,08054252	1,053389172	0,410722481	325,645277	0,016399924	85488,2	1402	310,1631
23087150	LG	PTE REAL	NEGRO	314,044	112,778	23,833068	2347,267423	1029	1,781915763	1,164697966	0,593865828	58,262151	0,008322665	37728,3	314	44,18946
23087160	LG	CARAMANTA	NUS	302,995	106,684	31,644768	1348,809965	1429	1,716088145	1,609040836	1,155134573	384,607808	0,025661351	44658,6	1146	5,517076
23087180	LG	SIRPES LOS	QDA LA CONCEPCION	117,981	59,1475	31,006262	2058,27315	847	1,524713999	1,355444199	0,754358753	323,719925	0,027293963	24401	666	5,803097
23087190	LM	GARRUCHA LA	SAMANA NORTE	1527,29	236,853	43,604717	1505,235897	2918	1,696977825	1,205474965	0,661956799	199,817186	0,029207873	71145,2	2078	602,7426
23087200	LG	PAILANIA	STO DOMINGO	194,641	86,7412	52,350106	1819,461529	2272	1,74086981	1,016234493	0,295415663	147,751205	0,043426767	36728,5	1595	103,3187
23087260	LG	COLTEPUNTO RNS 19	QDA LA CIMARRONA	55,3291	50,1603	20,550707	2222,091412	687	1,888171133	1,527234023	0,813315236	139,969773	0,00870675	18491,4	161	3,397677
23087670	LG	RIOTEX	QDA LA MOSCA	151,694	85,0521	21,440171	2251,77737	671	1,933565421	1,401835003	0,800954553	165,965412	0,005684441	20582,5	117	0
23087830	LG	FRESERA LA	NEGRO	777,386	181,197	21,850788	2268,794678	1041	1,819661794	1,360553866	0,683058352	100,685841	0,007156412	46531,7	333	59,50063
23107020	LG	BODEGA LA	REGLA	2420,26	360,092	26,794633	888,86743	1869	2,049464937	1,199251081	0,801979953	348,899674	0,012517108	115442	1445	618,7204
23107030	LG	MASCOTA LA	SAN BARTOLOME	306,4	136,399	26,209469	1378,683355	949	2,181849735	1,713621289	1,468668407	302,426768	0,01617682	34493,8	558	5,378144
23107040	LM	VEGACHI	VOLCAN	305,298	111,617	24,094758	1281,036576	1004	1,788654244	1,424900897	1,031778787	335,323227	0,01393248	40337,4	562	13,23994
23127020	LG	PTO ARAUJO-AUTOMAT	CARARE	5366,08	532,352	34,040709	1197,735458	3709	2,034831021	1,249651019	0,545929244	199,370179	0,014719585	227520	3349	1123,449
23127050	LM	BARREDERO FCA	CARARE	6445,07	593,051	31,345846	1040,136586	3718	2,068408218	1,230908331	0,516596406	248,609698	0,013412347	250590	3361	1443,458
23127060	LG	STA ROSA	CARARE	4900,61	468,813	36,138777	1292,271792	3666	1,875135286	1,273515957	0,569010797	177,175641	0,018474464	179491	3316	1023,19
23147020	LG	PTE FERROCARRIL	OPON	1737,7	322,443	29,777977	873,925874	3314	2,165826105	1,060954608	0,393336019	354,943893	0,016515578	134358	2219	568,6237
23147040	LM	AYACUCHO	LA COLORADA	1460,46	223,649	26,265957	581,815304	3340	1,638627197	1,277238784	0,453624201	627,22903	0,035510283	66403,3	2358	385,6618
23167010	LM	PENAS BLANCAS	MAGDALENA	86140	2462,45	31,301867	1460,470103	5388	2,34921637	1,313009817	0,627078013	287,733367	0,003131665	1083130	3392	15102,05
